Name MC MP
Bitcoin 116,358,743,319,512 55.19%
Ethereum 34,907,809,945,936 16.56%
Tether 10,250,191,821,644 4.86%
BN 8,071,118,657,206 3.83%
Solana 6,098,434,977,761 2.89%
USD 3,102,041,692,919 1.47%
XR 2,756,238,924,435 1.31%
Dogecoin 2,217,031,077,994 1.05%
Toncoin 1,847,303,820,192 0.88%
Cardano 1,548,794,899,023 0.73%
Shiba 1,416,704,023,940 0.67%
Avalanche 1,266,208,741,853 0.60%
TRON 998,068,680,098 0.47%
Polkadot 953,401,700,183 0.45%
Bitcoin 857,957,407,614 0.41%
Chainlink 775,597,844,407 0.37%
NEAR 679,234,198,168 0.32%
Polygon 673,223,226,433 0.32%
Internet 574,499,817,470 0.27%
Litecoin 569,099,104,957 0.27%
UNUS 500,065,685,685 0.24%
Da 494,829,109,288 0.23%
Uniswap 418,904,102,030 0.20%
Ethereum 369,088,128,993 0.18%
Apto 361,056,913,547 0.17%
Heder 360,316,172,281 0.17%
First 356,839,029,565 0.17%
Pep 341,294,350,590 0.16%
Crono 330,497,362,625 0.16%
Stack 326,728,346,854 0.15%
Mantl 318,322,214,650 0.15%
dogwifha 315,955,914,079 0.15%
Cosmo 315,552,452,845 0.15%
Filecoi 311,947,012,057 0.15%
Rende 310,055,086,026 0.15%
Stella 300,503,344,966 0.14%
Immutabl 297,690,845,704 0.14%
Optimis 284,520,382,792 0.13%
OK 282,763,380,528 0.13%
Bittenso 279,122,676,754 0.13%
Arbitru 263,665,645,970 0.13%
VeChai 253,391,497,114 0.12%
Make 250,027,525,132 0.12%
The 246,605,261,308 0.12%
Kasp 244,722,406,689 0.12%
Su 237,701,987,496 0.11%
Injectiv 215,330,095,956 0.10%
Moner 214,745,647,172 0.10%
Arweav 206,674,260,198 0.10%
Theta 203,012,244,135 0.10%
Fanto 182,340,783,264 0.09%
FLOK 176,586,671,550 0.08%
Lido 172,181,196,939 0.08%
Bon 169,607,353,546 0.08%
Fetch.a 170,245,040,525 0.08%
Celesti 170,288,250,662 0.08%
Cor 168,177,443,867 0.08%
THORChai 165,672,772,220 0.08%
Bitget 150,377,968,911 0.07%
Se 147,509,281,141 0.07%
Algoran 146,060,105,730 0.07%
Jupite 135,030,283,874 0.06%
Gal 128,616,496,767 0.06%
Flo 126,912,101,590 0.06%
Wormhol 122,468,921,025 0.06%
Aav 122,308,725,312 0.06%
Bitcoin 119,526,302,236 0.06%
Quan 116,702,276,756 0.06%
Bea 115,276,229,780 0.05%
BitTorrent 114,651,272,036 0.05%
Pendl 113,611,604,277 0.05%
Flar 113,624,834,753 0.05%
Ethen 111,008,329,833 0.05%
Ne 110,370,562,877 0.05%
Ond 105,948,139,106 0.05%
SingularityNE 106,070,768,223 0.05%
Multivers 103,391,307,464 0.05%
Axie 99,617,384,522 0.05%
Chili 99,200,542,718 0.05%
Worldcoi 96,012,191,536 0.05%
The 94,347,360,275 0.04%
Akash 95,335,841,129 0.05%
dYdX 93,764,141,567 0.04%
eCas 93,385,084,892 0.04%
Starkne 91,966,724,990 0.04%
KuCoin 91,698,411,330 0.04%
Tezo 88,652,914,530 0.04%
Syntheti 86,988,869,865 0.04%
EO 86,126,376,085 0.04%
Min 86,127,520,897 0.04%
JasmyCoi 86,004,761,163 0.04%
Conflu 83,439,629,984 0.04%
Roni 82,153,253,234 0.04%
Heliu 81,398,584,849 0.04%
Decentralan 79,657,364,164 0.04%
ORD 79,345,948,123 0.04%
Nervos 78,851,992,501 0.04%
Axela 76,283,709,845 0.04%
Pyth 75,666,081,899 0.04%
Gnosi 75,045,000,756 0.04%
